,Year,Round,Seed 1,Seed 2,Team 1,Team 2,TO 1,TO 2,GP 1,GP 2,Points 1,Points 2,Points Allowed 1,Points Allowed 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,3P 1,3P 2,Score 1,Score 2,Winner
105,2022,R2,11,3,Notre Dame,Texas Tech,10.3,13.9,34,35,2487,2535,2290,2113,73.1,72.4,67.4,60.4,68.8,73.5,38,31.4,53,59,Texas Tech
106,2022,R2,7,2,Michigan State,Duke,13.1,10.2,35,35,2525,2804,2400,2344,72.1,80.1,68.6,67,64.7,82.4,37.8,36.8,76,85,Duke
107,2022,R2,1,8,Baylor,North Carolina,12.5,11.7,33,34,2533,2653,2085,2430,76.8,78,63.2,71.5,81.2,72.7,34.6,36.2,86,93,North Carolina
108,2022,R2,5,4,Saint Mary's,UCLA,11.3,9.2,33,33,2314,2501,1989,2127,70.1,75.8,60.3,64.5,78.1,78.1,35,35.1,56,72,UCLA
109,2022,R2,6,3,Texas,Purdue,11.8,11.7,33,35,2268,2791,1981,2394,68.7,79.7,60,68.4,65.6,79.4,32.3,39.1,71,81,Purdue
110,2022,R2,7,15,Murray State,Saint Peter's,11.4,13.9,33,31,2630,2091,2080,1932,79.7,67.5,63,62.3,93.8,63.3,35.3,35.3,60,70,Saint Peter's 
111,2022,R2,1,9,Arizona,TCU,13.2,14.5,35,33,2962,2248,2366,2122,84.6,68.1,67.6,64.3,91.2,62.5,35.4,30.4,85,80,Arizona
112,2022,R2,5,4,Houston,Illinois,11.3,12.2,35,32,2660,2403,2070,2150,76,75.1,59.1,67.2,85.3,71,34.1,36.7,68,53,Houston
113,2022,R2,11,3,Michigan,Tennessee,11.5,12.4,32,34,2339,2503,2229,2127,73.1,73.6,69.7,62.6,54.8,78.8,34,35.9,76,68,Michigan
114,2022,R2,7,2,Ohio State,Villanova,11,10,31,34,2268,2477,2095,2142,73.2,72.9,67.6,63,63.3,78.8,37.3,35.9,61,71,Villanova
115,2022,R2,1,9,Kansas,Creighton,12.5,14.1,35,34,2755,2350,2373,2245,78.7,69.1,67.8,66,82.4,66.7,35.5,30.7,79,72,Kansas
116,2022,R2,12,4,Richmond,Providence,9.8,11.7,36,31,2577,2220,2453,2067,71.6,71.6,68.1,66.7,65.7,83.3,33.7,34.3,51,79,Providence
